layer,head,entropy_mean,entropy_std,rtas_mean,rtas_std
decoder_attn_14,5,2.1662495962381363,0.07336292080320891,0.4651358309015632,0.1410469136107485
decoder_attn_14,6,2.2538316230773927,0.11709720548602073,0.4678817882016301,0.17665147548709556
decoder_attn_14,7,2.17549289894104,0.06080161746748711,0.4180384128168225,0.0755523374820022
decoder_attn_14,8,2.6595942666530608,0.0762610416007718,0.4912828627601266,0.09132489640106736
decoder_attn_14,9,2.572737289428711,0.10388421091476148,0.47241061598062517,0.12221014452078721
decoder_attn_14,10,1.7419805510044097,0.047598067638084524,0.29272737802937626,0.038975383900615265
decoder_attn_14,11,1.4842195396423339,0.03586611253040768,0.19389494631439447,0.03237586028350784
decoder_attn_14,12,2.5871015610694887,0.04148008439832855,0.5861334585025907,0.12600992738137004
decoder_attn_14,13,2.1461028258800505,0.04205424722177496,0.40732787746936083,0.05880129634149638
decoder_attn_14,14,1.550750815987587,0.03179897967333544,0.21314626349136234,0.03117877811565976
decoder_attn_14,15,1.6942942551374436,0.03221239359137869,0.17661366845481097,0.022550443506092525
decoder_attn_15,0,2.2980186514854433,0.05167927687423301,0.48935698747634887,0.07740650346624862
decoder_attn_15,1,2.540420960903168,0.06982555926375354,0.47192082814872266,0.09886458962445424
decoder_attn_15,2,1.958450489640236,0.09741753208642477,0.3166537752747536,0.07977440731482073
decoder_attn_15,3,1.878125779747963,0.055148443325254634,0.3574500722065568,0.05383774446835005
decoder_attn_15,4,2.0356428945064544,0.05116450767681682,0.40724218061193823,0.06298890757936547
decoder_attn_15,5,2.0277369667291643,0.04692603933603716,0.5933854469656944,0.07892755443270426
decoder_attn_15,6,2.2408808872699737,0.0564502672595141,0.5300242144241929,0.1579821479006075
decoder_attn_15,7,1.846858571767807,0.06621542468764084,0.1970281451381743,0.0545309615080851
decoder_attn_15,8,2.0423035408258436,0.042393508363463506,0.41020616751164196,0.0705308348769503
decoder_attn_15,9,1.628954237818718,0.0859071429836493,0.3433630963973701,0.11084198392088113
decoder_attn_15,10,1.8874085100889206,0.033704759187760426,0.4661661378666759,0.063004965803466
decoder_attn_15,11,1.9154347004890442,0.026619190194908687,0.3327112992294133,0.044958688185161216
decoder_attn_15,12,2.0711590342521666,0.053272501402577346,0.4330666420608759,0.07485660289679812
decoder_attn_15,13,2.234517873287201,0.09480599108422395,0.49359895460307596,0.13422535929803192
decoder_attn_15,14,2.417851678133011,0.09274268419109533,0.44196985706686975,0.08766292150562045
decoder_attn_15,15,2.3704164865016937,0.10843989005942704,0.38863959748297927,0.09231101434924593
decoder_attn_16,0,1.3732119711637496,0.09457803978862754,0.1570938478410244,0.0810385531778629
decoder_attn_16,1,2.095362078309059,0.07197785064110525,0.3615826565772295,0.1215704429148416
decoder_attn_16,2,1.6392954293489457,0.08203585801627364,0.3669307532906532,0.12921983390185068
decoder_attn_16,3,1.9859018375873565,0.10072127154328596,0.4627214690297842,0.0940552179890448
decoder_attn_16,4,2.0288870363235474,0.06049296977759351,0.4122499217092991,0.06172192133411445
decoder_attn_16,5,2.391997281074524,0.0860952391638748,0.40109319049865005,0.07932021389320772
decoder_attn_16,6,2.279066794633865,0.061847465188384944,0.3684954983368516,0.0731792605564224
decoder_attn_16,7,2.232509973526001,0.07312009746368812,0.41837891886010764,0.172881530326996
decoder_attn_16,8,2.626178189277649,0.07465517275689898,0.5121968633681536,0.22065014275082498
decoder_attn_16,9,2.5419605357646944,0.043223830436962894,0.6249326204881072,0.14196555074624884
decoder_attn_16,10,2.447665946483612,0.12073141305890847,0.3937075269781053,0.11422967191136334
decoder_attn_16,11,2.15705487036705,0.08513441144628206,0.42890812274068596,0.10765724176249263
decoder_attn_16,12,1.871296527147293,0.03719485390323572,0.4521262997761369,0.09647951691961427
decoder_attn_16,13,2.1965964710712433,0.07846685104818112,0.4350955037772655,0.08997753398806614
decoder_attn_16,14,2.478909821510315,0.06761221872594715,0.4555400324240327,0.09170457968394517
decoder_attn_16,15,1.2367317963838578,0.03572381161835588,0.5365342082455754,0.06924763994637925
decoder_attn_17,0,2.3755721683502196,0.12124099813936627,0.5094745893217624,0.21306122287912993
decoder_attn_17,1,2.484135849237442,0.15591942954136237,0.5567605146765708,0.15245894029604512
decoder_attn_17,2,2.512033970117569,0.09908958322791561,0.4976361700892448,0.12672268603861364
decoder_attn_17,3,2.095619437336922,0.12596197985598212,0.4094409632124007,0.18743337953711645
decoder_attn_17,4,2.4969778354167937,0.11219277748380667,0.5401341570541263,0.14472159109062907
decoder_attn_17,5,2.339024397611618,0.12191811464531864,0.5006656235456467,0.10410089520830004
decoder_attn_17,6,0.9789910025596619,0.007410196947333071,0.00045406733850313687,0.000848499283683063
decoder_attn_17,7,1.0816367794275283,0.03127160043062604,0.05074776084860787,0.02452311031129703
decoder_attn_17,8,1.9973102782964707,0.05133525034544501,0.5711739822849631,0.08180697550102145
decoder_attn_17,9,2.4641506962776183,0.06522721398317288,0.5244142700731754,0.08400872333415593
decoder_attn_17,10,2.156077206850052,0.06532915318150193,0.46537175789475443,0.08127784224669259
decoder_attn_17,11,2.019325038790703,0.04099164594025188,0.4796565962955356,0.0744067774997436
decoder_attn_17,12,2.3380298218727114,0.08601838594648803,0.4015022036060691,0.10705104205644438
decoder_attn_17,13,2.5808675940036774,0.12295974467871805,0.4139723468758166,0.13301637541235414
decoder_attn_17,14,2.0863491585254668,0.043295600933927175,0.4040060143917799,0.06380710626487392
decoder_attn_17,15,1.276613511800766,0.04372794242681851,0.12422957058995962,0.04501560429737966
decoder_attn_18,0,2.11968208026886,0.11927841260648502,0.28784851063042877,0.0914896783996647
decoder_attn_18,1,2.480564197540283,0.06948875211390916,0.4825913208350539,0.10405159535749163
decoder_attn_18,2,2.764675180912018,0.05112278588940348,0.5761958790197969,0.0934133161723127
decoder_attn_18,3,2.136016389489174,0.07538072766575044,0.2695936058647931,0.05463769113454621
decoder_attn_18,4,2.08539130628109,0.06673960366361588,0.39775034442543983,0.09813075005042832
decoder_attn_18,5,1.80381531894207,0.05688865134714661,0.30707193035632374,0.058815121664030745
decoder_attn_18,6,1.8941295502185822,0.06948908094422133,0.41310005616396667,0.059267011731359585
decoder_attn_18,7,1.6395586067438126,0.1255178524629613,0.16167083041742444,0.07346027649341026
decoder_attn_18,8,2.19153034722805,0.14180110930365739,0.5202416860312223,0.1746716047393484
decoder_attn_18,9,2.278060207366943,0.0635526901976867,0.44274744220077994,0.10700150532998705
decoder_attn_18,10,1.270185877919197,0.03880332946507776,0.05262963738990947,0.017098932239021307
decoder_attn_18,11,2.0423693619966508,0.06580647515921054,0.3774011468887329,0.08908226067708666
decoder_attn_18,12,1.9004679009914398,0.06013869011600536,0.37296507332473994,0.07754451808867666
decoder_attn_18,13,2.5879853365421295,0.054266324052053706,0.4446555134654045,0.10679209095045736
decoder_attn_18,14,2.0797805877923965,0.05885842517273824,0.48978616021573546,0.09760430891552539
